Station_name,Stn_id,Lat,Lon,Month,Temperature,Season
RABBIT-FLAT,15666,-20.18,130.01,January,40.44,Summer
RICHMOND-POST-OFFICE,30045,-20.73,143.14,January,38.7,Summer
RICHMOND-RAAF,67105,-33.6,150.78,January,32.31,Summer
ROBE-COMPARISON,26026,-37.16,139.76,January,23.38,Summer
ROCKHAMPTON-AERO,39083,-23.38,150.48,January,33.26,Summer
RUTHERGLEN-RESEARCH,82039,-36.1,146.51,January,35.38,Summer
SCONE-AIRPORT-AWS,61363,-32.03,150.83,January,33.73,Summer
SNOWTOWN-RAYVILLE-PARK,21133,-33.77,138.22,January,33.74,Summer
ST-GEORGE-AIRPORT,43109,-28.05,148.59,January,35.72,Summer
SYDNEY-OBSERVATORY-HILL,66062,-33.86,151.21,January,27.36,Summer
TARCOOLA-AERO,16098,-30.71,134.58,January,37.89,Summer
TENNANT-CREEK-AIRPORT,15135,-19.64,134.18,January,38.24,Summer
THARGOMINDAH-AIRPORT,45025,-27.99,143.81,January,39.01,Summer
TIBOOBURRA-POST-OFFICE,46037,-29.43,142.01,January,37.95,Summer
TOWNSVILLE-AERO,32040,-19.25,146.77,January,34.22,Summer
VICTORIA-RIVER-DOWNS,14825,-16.4,131.01,January,38.41,Summer
WAGGA-WAGGA-AMO,72150,-35.16,147.46,January,33.76,Summer
WALGETT-AIRPORT-AWS,52088,-30.04,148.12,January,37.55,Summer
WANDERING,10917,-32.67,116.67,January,33.01,Summer
WEIPA-AERO,27045,-12.68,141.92,January,33.75,Summer
WILCANNIA-REID-ST,46043,-31.56,143.37,January,38.26,Summer
WILLIAMTOWN-RAAF,61078,-32.79,151.84,January,29.27,Summer
WILSONS-PROMONTORY-LIGHTHOUSE,85096,-39.13,146.42,January,21.78,Summer
WITTENOOM,5026,-22.24,118.34,January,42.76,Summer
WOOMERA-AERODROME,16001,-31.16,136.81,January,36.26,Summer
WYALONG-POST-OFFICE,73054,-33.93,147.24,January,34.12,Summer
YAMBA-PILOT-STATION,58012,-29.43,153.36,January,28.05,Summer
ADELAIDE-KENT-TOWN,23090,-34.92,138.62,January,30.35,Summer
ALBANY-AIRPORT-COMPARISON,9741,-34.94,117.8,January,24.65,Summer
ALICE-SPRINGS-AIRPORT,15590,-23.8,133.89,January,40.21,Summer
AMBERLEY-AMO,40004,-27.63,152.71,January,35.1,Summer
BARCALDINE-POST-OFFICE,36007,-23.55,145.29,January,40.39,Summer
BATHURST-AGRICULTURAL-STATION,63005,-33.43,149.56,January,33.57,Summer
BIRDSVILLE-AIRPORT,38026,-25.9,139.35,January,40.6,Summer
BOULIA-AIRPORT,38003,-22.91,139.9,January,40.51,Summer
BOURKE-AIRPORT-AWS,48245,-30.04,145.95,January,40.35,Summer
BRIDGETOWN-COMPARISON,9510,-33.96,116.14,January,30.41,Summer
